order_id,order_date,customer_id,region,product,quantity,revenue,load_timestamp
ORD-1001,2026-08-01,CUST-4412,Northeast,Analytics Seat - Annual,3,4470.00,2026-08-03T06:15:00Z
ORD-1002,2026-08-01,CUST-4418,Midwest,Data Engineering Bootcamp,1,7900.00,2026-08-03T06:15:00Z
ORD-1003,2026-08-01,CUST-4425,West,Analytics Seat - Monthly,12,1788.00,2026-08-03T06:15:00Z
ORD-1004,2026-08-02,CUST-4431,South,Reporting Add-on,2,640.00,2026-08-03T06:15:00Z
ORD-1005,2026-08-02,CUST-4437,Northeast,Data Engineering Bootcamp,1,7900.00,2026-08-03T06:15:00Z
ORD-1006,2026-08-02,CUST-4440,,Analytics Seat - Annual,1,1490.00,2026-08-03T06:15:00Z
ORD-1007,2026-08-02,CUST-4444,West,Reporting Add-on,4,1280.00,2026-08-03T06:15:00Z
ORD-1008,2026-08-02,CUST-4451,Midwest,Analytics Seat - Monthly,6,894.00,2026-08-03T06:15:00Z
ORD-1007,2026-08-02,CUST-4444,West,Reporting Add-on,4,1280.00,2026-08-03T06:15:00Z
ORD-1009,2026-08-03,CUST-4459,South,Analytics Seat - Annual,2,2980.00,2026-08-03T06:15:00Z
ORD-1010,2026-08-03,CUST-4463,West,Refund - Bootcamp Withdrawal,1,-7900.00,2026-08-03T06:15:00Z
ORD-1011,2026-07-31,CUST-4470,Northeast,Analytics Seat - Monthly,9,1341.00,2026-07-31T02:40:00Z
ORD-1012,2026-08-03,CUST-4478,Midwest,Reporting Add-on,3,960.00,2026-08-03T06:15:00Z
